run_id,created_at,split,sampling_mode,seed,max_images,max_images_per_class,num_images_evaluated,num_classes,model_agreement_rate,tflite_color_stability_rate,tflite_top1_accuracy,tflite_topk_accuracy,hog_top1_accuracy,hog_topk_accuracy,output_dir
sample_ablation_20260503_063255_090739_UTC,2026-05-03T06:32:02Z,test,balanced,7,200,1,200,200,0.015,0.215,0.15,0.285,0.0,0.02,D:\BackupFiles\School2023-Present\05_Spring2026\CS659\CS659_Project\DeepLearning-tensorFlowLite\result\sample_ablation_20260503_063202_UTC
sample_ablation_20260503_063347_619633_UTC,2026-05-03T06:33:00Z,test,balanced,42,200,2,200,200,0.005,0.235,0.105,0.265,0.0,0.005,D:\BackupFiles\School2023-Present\05_Spring2026\CS659\CS659_Project\DeepLearning-tensorFlowLite\result\sample_ablation_20260503_063300_UTC
sample_ablation_20260503_063440_109357_UTC,2026-05-03T06:33:52Z,test,random,42,200,,200,114,0.02,0.345,0.465,0.735,0.02,0.045,D:\BackupFiles\School2023-Present\05_Spring2026\CS659\CS659_Project\DeepLearning-tensorFlowLite\result\sample_ablation_20260503_063353_UTC
