run_id,created_at,split,sampling_mode,max_images,num_images_evaluated,num_classes,model_agreement_rate,tflite_color_stability_rate,tflite_top1_accuracy,tflite_topk_accuracy,hog_top1_accuracy,hog_topk_accuracy,output_dir
sample_ablation_20260503_062435_267452_UTC,2026-05-03T06:24:23Z,test,balanced,10,10,10,0.0,0.2,0.1,0.2,0.0,0.0,D:\BackupFiles\School2023-Present\05_Spring2026\CS659\CS659_Project\DeepLearning-tensorFlowLite\result\sample_ablation_20260503_062423_UTC
sample_ablation_20260503_063050_021143_UTC,2026-05-03T06:30:29Z,test,balanced,50,50,50,0.0,0.28,0.1,0.26,0.0,0.02,D:\BackupFiles\School2023-Present\05_Spring2026\CS659\CS659_Project\DeepLearning-tensorFlowLite\result\sample_ablation_20260503_063029_UTC
sample_ablation_20260503_063147_933984_UTC,2026-05-03T06:30:56Z,test,balanced,200,200,200,0.005,0.235,0.105,0.265,0.0,0.005,D:\BackupFiles\School2023-Present\05_Spring2026\CS659\CS659_Project\DeepLearning-tensorFlowLite\result\sample_ablation_20260503_063056_UTC
sample_ablation_20260503_063255_090739_UTC,2026-05-03T06:32:02Z,test,balanced,200,200,200,0.015,0.215,0.15,0.285,0.0,0.02,D:\BackupFiles\School2023-Present\05_Spring2026\CS659\CS659_Project\DeepLearning-tensorFlowLite\result\sample_ablation_20260503_063202_UTC
sample_ablation_20260503_063347_619633_UTC,2026-05-03T06:33:00Z,test,balanced,200,200,200,0.005,0.235,0.105,0.265,0.0,0.005,D:\BackupFiles\School2023-Present\05_Spring2026\CS659\CS659_Project\DeepLearning-tensorFlowLite\result\sample_ablation_20260503_063300_UTC
sample_ablation_20260503_063440_109357_UTC,2026-05-03T06:33:52Z,test,random,200,200,114,0.02,0.345,0.465,0.735,0.02,0.045,D:\BackupFiles\School2023-Present\05_Spring2026\CS659\CS659_Project\DeepLearning-tensorFlowLite\result\sample_ablation_20260503_063353_UTC
